0,0,42.88
0,2,28.97
0,5,30.75
0,6,57.26
0,7,4.84
0,8,49.86
0,9,59.16
0,10,1.03
0,11,19.45
0,12,41.11
0,13,39.70
0,15,57.88
0,16,83.17
0,17,7.12
0,19,91.47
1,1,16.25
1,2,1.31
1,4,63.56
1,5,5.99
1,6,80.94
1,7,5.84
1,9,27.98
1,11,56.56
1,12,42.14
1,13,74.21
1,14,0.32
1,16,1.73
1,17,70.50
1,18,14.52
1,19,92.63
2,0,96.41
2,2,6.13
2,4,59.78
2,5,26.82
2,6,34.27
2,7,84.85
2,8,67.96
2,11,62.01
2,13,40.44
2,14,35.36
2,15,51.38
2,16,69.61
2,17,49.00
2,18,26.75
3,0,52.62
3,1,71.08
3,2,77.59
3,3,34.26
3,7,25.51
3,8,62.86
3,12,79.98
3,13,45.10
3,15,73.00
3,16,32.40
3,17,35.48
3,18,1.37
4,0,70.24
4,1,60.12
4,2,58.02
4,3,28.57
4,4,13.84
4,5,90.54
4,6,38.75
4,7,55.92
4,8,7.71
4,9,99.08
4,10,89.58
4,11,19.81
4,12,36.60
4,13,80.64
4,14,26.06
4,15,93.45
4,16,56.93
4,18,49.52
4,19,82.37
5,0,63.86
5,3,21.93
5,4,81.30
5,6,57.85
5,8,41.15
5,9,91.35
5,10,30.00
5,11,69.74
5,12,71.31
5,13,32.99
5,17,95.05
5,18,8.33
6,0,5.55
6,1,56.00
6,2,5.73
6,3,2.25
6,5,5.57
6,7,44.47
6,8,46.09
6,9,92.39
6,10,4.99
6,11,28.26
6,13,0.55
6,14,23.89
6,16,66.15
6,18,3.50
6,19,53.67
7,0,31.11
7,1,18.60
7,2,18.61
7,4,29.78
7,5,81.70
7,6,53.54
7,7,24.35
7,8,52.87
7,9,48.21
7,10,28.68
7,12,53.76
7,13,54.06
7,14,54.53
7,15,60.70
7,16,69.69
7,17,74.30
7,18,23.07
7,19,6.49
8,0,4.90
8,2,62.66
8,3,66.43
8,4,95.56
8,5,60.66
8,6,62.79
8,7,51.89
8,10,66.50
8,11,51.53
8,12,0.14
8,13,83.27
8,14,75.20
8,15,34.09
8,16,31.27
8,17,4.73
9,0,40.77
9,2,4.34
9,4,55.07
9,6,83.68
9,7,85.53
9,8,70.71
9,9,3.66
9,10,29.88
9,13,28.88
9,14,23.85
9,15,83.47
9,16,15.29
9,17,47.40
10,0,81.67
10,1,53.95
10,2,4.47
10,4,96.71
10,6,2.53
10,7,62.11
10,8,46.54
10,9,39.52
10,10,85.00
10,12,94.84
10,14,10.97
10,15,94.19
10,16,90.27
10,17,29.06
10,19,58.25
11,0,10.48
11,2,48.11
11,3,89.16
11,4,37.50
11,7,51.36
11,8,4.53
11,10,8.46
11,11,47.53
11,12,46.27
11,13,87.29
11,15,32.13
11,16,19.95
11,17,13.08
11,18,69.27
12,1,62.94
12,2,43.01
12,4,73.96
12,5,98.32
12,6,33.66
12,7,55.23
12,8,77.09
12,10,93.17
12,12,17.33
12,14,94.96
12,17,96.02
12,18,54.89
12,19,24.13
13,0,78.67
13,1,24.06
13,2,10.59
13,3,38.92
13,4,89.28
13,5,55.60
13,6,82.88
13,7,84.04
13,8,78.86
13,9,92.51
13,10,16.58
13,11,60.13
13,12,22.58
13,13,58.13
13,14,91.15
13,15,59.40
13,16,9.45
13,17,50.70
13,18,88.10
13,19,39.75
14,0,65.73
14,1,61.95
14,2,25.33
14,3,24.14
14,4,8.08
14,6,28.88
14,7,51.82
14,8,64.73
14,9,62.78
14,10,6.18
14,11,8.55
14,12,79.48
14,13,78.94
14,14,49.59
14,16,60.69
14,17,79.91
14,18,48.24
15,0,48.56
15,1,94.98
15,2,91.29
15,3,59.63
15,4,89.64
15,5,96.14
15,6,66.93
15,7,96.09
15,9,1.21
15,10,81.10
15,11,26.77
15,13,25.85
15,15,14.23
15,16,63.37
15,17,78.36
15,18,13.00
15,19,96.22
16,0,32.36
16,1,69.50
16,3,21.17
16,4,42.19
16,6,64.49
16,7,27.38
16,8,95.26
16,9,83.26
16,11,9.04
16,14,98.03
16,15,98.04
16,16,23.63
16,17,99.09
16,18,27.68
16,19,15.01
17,0,30.12
17,3,21.04
17,4,82.12
17,5,35.95
17,10,4.24
17,12,67.52
17,15,70.83
17,16,60.23
17,17,66.96
17,18,23.49
17,19,4.58
18,0,45.64
18,2,70.11
18,3,77.19
18,4,88.35
18,7,67.59
18,8,91.02
18,9,15.26
18,10,90.46
18,11,16.60
18,12,4.46
18,14,82.29
18,15,28.08
18,16,28.57
18,17,4.84
18,18,0.86
18,19,24.14
19,0,71.10
19,1,47.02
19,2,67.42
19,3,63.12
19,5,21.88
19,7,24.95
19,8,29.38
19,9,46.78
19,10,27.44
19,13,94.78
19,15,40.17
19,16,51.57
19,18,70.24
19,19,51.96
20,2,94.78
20,4,63.15
20,5,73.68
20,7,99.16
20,8,98.63
20,10,60.82
20,12,83.13
20,13,59.73
20,14,83.42
20,16,12.02
21,1,5.26
21,2,0.10
21,3,44.01
21,5,53.51
21,6,83.87
21,7,6.11
21,8,30.08
21,11,23.54
21,12,98.41
21,13,80.64
21,14,5.56
21,15,22.02
21,16,4.35
21,17,81.83
21,18,11.17
21,19,83.63
22,2,40.62
22,4,73.24
22,5,35.82
22,8,58.33
22,9,10.83
22,10,79.07
22,11,76.95
22,12,95.96
22,13,86.31
22,15,90.30
22,16,72.67
22,17,71.04
22,18,37.32
22,19,90.87
23,0,40.52
23,2,6.70
23,3,15.12
23,4,71.50
23,5,91.52
23,7,43.76
23,9,68.26
23,10,82.47
23,11,11.19
23,12,50.64
23,13,76.76
23,14,11.49
23,16,67.96
23,18,25.56
23,19,6.34
24,0,56.56
24,1,32.34
24,2,36.15
24,3,88.15
24,4,75.71
24,5,63.48
24,6,73.84
24,8,98.25
24,9,7.72
24,10,74.73
24,12,29.85
24,15,96.29
24,16,69.67
24,17,18.40
24,19,12.45
25,1,85.53
25,2,36.74
25,3,60.65
25,4,28.23
25,5,78.72
25,6,1.61
25,7,0.19
25,9,83.87
25,10,35.57
25,11,22.14
25,12,40.74
25,13,71.34
25,15,59.82
25,16,2.61
25,18,81.05
25,19,14.01
26,0,97.74
26,1,60.38
26,2,5.05
26,3,81.57
26,4,29.78
26,5,9.26
26,6,32.07
26,7,34.49
26,10,17.56
26,11,40.12
26,12,91.67
26,13,54.23
26,14,38.15
26,15,52.03
26,17,74.85
26,19,19.72
27,0,38.55
27,3,94.63
27,5,81.56
27,7,40.23
27,8,35.77
27,9,35.64
27,10,33.96
27,12,42.92
27,13,1.94
27,14,18.78
27,15,76.33
27,16,74.62
27,17,24.09
27,18,73.94
27,19,98.60
28,0,39.93
28,2,79.33
28,3,85.56
28,4,1.77
28,5,43.05
28,6,82.25
28,7,53.32
28,8,63.11
28,9,69.49
28,10,79.69
28,11,18.61
28,12,28.27
28,14,37.48
28,15,58.32
28,16,69.96
28,17,13.73
28,18,83.49
28,19,67.84
29,0,56.04
29,1,10.39
29,4,32.06
29,5,77.28
29,6,37.87
29,7,13.31
29,8,12.00
29,9,92.77
29,10,39.60
29,11,85.98
29,12,63.30
29,13,52.94
29,14,43.27
29,15,28.89
29,16,6.23
29,17,0.50
29,18,3.75
29,19,83.73
30,0,8.50
30,1,8.33
30,3,44.60
30,4,24.11
30,6,1.76
30,8,26.12
30,10,56.09
30,11,36.49
30,12,28.01
30,13,37.09
30,14,93.32
30,15,94.91
30,18,11.41
30,19,69.32
31,0,39.27
31,1,79.72
31,2,71.17
31,3,66.09
31,4,16.28
31,5,92.83
31,6,39.83
31,7,52.74
31,8,75.08
31,9,19.39
31,11,7.33
31,12,54.88
31,13,49.05
31,14,20.65
31,15,90.56
31,16,98.08
31,17,99.16
31,19,84.12
32,1,30.11
32,2,0.78
32,3,99.00
32,4,97.78
32,5,82.21
32,6,40.84
32,9,21.11
32,10,94.55
32,11,58.12
32,12,42.39
32,13,55.64
32,15,41.84
32,17,58.17
33,0,75.15
33,1,23.65
33,2,36.53
33,3,76.30
33,4,45.38
33,5,34.05
33,6,21.03
33,7,44.67
